영화명,개봉일,첫주매출액,첫주관객수,대표국적,제작사,배급사,등급,장르,감독,배우,총관객수,총매출액,등급2
워 호스,2012-02-09,649028000,90257,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"전쟁,드라마",스티븐 스필버그,"제레미 어바인,베네딕 컴버배치,에밀리 왓슨,피터 뮬란",102195,734302500,3
토르: 마법망치의 전설,2012-02-09,1853500500,243178,아이슬란드,,"롯데쇼핑㈜롯데엔터테인먼트,(주)스마일이엔티",전체관람가,"애니메이션,어드벤처","오스카 요나손,토비 젠켈,거나 칼슨","하동훈,최효종,김원효,조지훈",768426,5550797500,2
고스트 라이더 : 복수의 화신,2012-02-16,762134000,98662,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,판타지,스릴러","마크 네브다인,브라이언 테일러","니콜라스 케이지,이드리스 엘바",117265,902998500,3
더 그레이,2012-02-16,1726657500,229559,미국,,(주)팝파트너스,15세이상관람가,"액션,드라마,스릴러",조 카나한,"리암 니슨,더못 멀로니",292217,2198959500,3
아티스트,2012-02-16,274149000,35829,미국,,(주)영화사 진진,12세이상관람가,"멜로/로맨스,코미디,드라마",미셸 아자나비슈스,"진 두자르딘,베레니스 베조,존 굿맨,제임스 크롬웰",120434,921795100,3
우먼 인 블랙,2012-02-16,702557500,95515,영국,,"(주)넥스트엔터테인먼트월드(NEW),KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)",15세이상관람가,"드라마,공포(호러),스릴러",제임스 왓킨스,"다니엘 래드클리프,시어런 힌즈,자넷 맥티어",117188,862144800,3
하울링,2012-02-16,6292530500,858891,한국,오퍼스픽쳐스(유),씨제이이앤엠 주식회사,15세이상관람가,"범죄,드라마",유하,"송강호,이나영,박민규,이민호,임현성,정진,조은별,주영민,한민혁",1612554,11765293500,3
맨 온 렛지,2012-02-22,3052274500,411512,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,스릴러",애스게르 레스,"샘 워싱턴,엘리자베스 뱅크스",591841,4393531500,3
언더월드 4: 어웨이크닝,2012-02-22,1549258500,167019,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,"액션,판타지,SF,공포(호러)","만스 말린드,비욘 스테인","케이트 베킨세일,테오 제임스,인디아 아이슬리,마이클 엘리",200038,1861948000,1
철의 여인,2012-02-23,622195000,83681,영국,,필라멘트픽쳐스,12세이상관람가,드라마,필리다 로이드,"메릴 스트립,짐 브로드벤트",144401,1079550500,3
